Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
2,3272,1,2113012,New York Botanical Garden Campus: Enid A. Haupt Conservatory,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113012,New York Botanical Garden Campus: Garden Cafe & Terrace Room,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: Harriet Barnes Pratt Library Wing,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: International Plant Science Center,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: Jeannette Kittredge Watson Science and Education Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: LuEsther T. Mertz Library (Museum Building),CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: Pfizer Plant Research Laboratory,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3273,1,2823840,New York Botanical Garden Campus: Stone Mill,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3273,122,2094718,NYBG: Warehouse Upper and Lower,CIG,Not Available,121.3,3.7,1,419.1,12.1
2,4336,1,2115623,New York Botanical Garden Campus: Nolen Glasshouses,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,4336,1,2115623,New York Botanical Garden Campus: Operations Garage/Storage Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,4336,1,2115623,New York Botanical Garden Campus: Operations Multi-Purpose Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,5937,440,2117850,Wave Hill Campus: Glyndor House,CIG,Not Available,45.4,1.6,Not Available,90,3.7
2,5937,440,2101020,Wave Hill Campus: Wave Hill House,CIG,Not Available,45.4,1.6,Not Available,90,3.7
2,5937,440,2101020,Wave Hill Campus: Wave Hill Museum Building,CIG,Not Available,45.4,1.6,Not Available,90,3.7
3,1183,1,3337842,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Administrative Building,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
3,1183,1,3337842,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Conservatory,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
3,1183,1,3337842,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Palm House,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
3,1183,1,3337842,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Service Garage,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
3,1183,26,3029667,Brooklyn Museum,CIG,Not Available,290.7,9.8,Not Available,308.4,10.6
3,1190,61,3029723,BBG Technical Services Center,CIG,Not Available,152.7,4.5,Not Available,96.2,3.3
3,1229,1,3031049,Brooklyn Children's Museum,CIG,Not Available,204.5,5.5,Not Available,204.5,5.6
3,2095,45,3345162,BAM Harvey Theater (Majestic Theater),CIG,Not Available,316.4,9.3,Not Available,368.9,11.3
3,2110,3,3059182,BAM Peter Jay Sharp Theater (Opera House),CIG,Not Available,322,10.6,Not Available,310.2,10.3
3,2111,11,3059184,Brooklyn Academy of Music (BAM Richard B. Fisher Building),CIG,Not Available,Not Available,Not Available,Not Available,278.6,8.3
3,5778,1,3257059,American Museum of Natural History Storage,CIG,14,119.1,3.1,45,72.4,1.9
3,8698,1,3245159,New York Aquarium Campus: Aqua Theater,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Conservation Hall,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Explore the Shore/Alien Stingers,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Operations Building,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Osborn Laboratories of Marine Sciences (OLMS),CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Sea Cliffs,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
4,75,1,4000548,P.S. 1 Contemporary Art Center,CIG,Not Available,80.2,2.8,Not Available,199.2,6.9
4,644,1,4441089,Museum of the Moving Image,CIG,Not Available,174.5,5.6,Not Available,483.9,16.6
4,2018,1,4441124,New York Hall of Science,CIG,Not Available,208.5,6.2,Not Available,218.6,7.2
4,2018,1,4840396,Queens Museum of Art,CIG,Not Available,272.6,9.9,Not Available,348.3,10.8
4,4960,1,4112147,Flushing Town Hall,CIG,Not Available,299.5,10.2,Not Available,257.7,8.6
2,3222,62,2100240,Colston Hall,CUNY-C,Not Available,95.3,2.5,Not Available,122.6,3.3
4,5107,200,4439683,Queens Botanical Garden Campus: Administration Building,CIG,Not Available,213.1,6.8,Not Available,234.6,8.2
4,5107,200,4439682,Queens Botanical Garden Campus: Greenhouse / Maintenance Building,CIG,Not Available,213.1,6.8,Not Available,234.6,8.2
4,10097,10,4315254,"JCAL, Jamaica Performing Arts Center",CIG,Not Available,283.8,9.2,Not Available,390.4,14
4,10101,11,4215617,Jamaica Center for Arts and Learning,CIG,Not Available,46.2,1.2,Not Available,65.3,1.8
5,9,1,5000088,Staten Island Museum,CIG,Not Available,168.9,5.2,Not Available,141.8,4.6
5,76,1,5146247,Snug Harbor Campus: Snug Harbor Bldg O/SICM Barn,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5113028,Snug Harbor Campus: B-C Hyphen,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5113027,Snug Harbor Campus: Bldg A/Staten Island Museum,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg C/Newhouse Center,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg D/Noble Collection,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg E,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg F,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg G/Newhouse Gallery,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg H,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
